seed,phase,progress,val_delta,last_line
10,pre_step,75/100,,pre_step 75/100 loss=0.603 acc=0.800
11,pre_step,75/100,,pre_step 75/100 loss=0.579 acc=0.600
12,pre_step,75/100,,pre_step 75/100 loss=0.528 acc=0.700
13,pre_step,75/100,,pre_step 75/100 loss=0.444 acc=0.900
14,pre_step,75/100,,pre_step 75/100 loss=0.452 acc=0.733
15,pre_step,75/100,,pre_step 75/100 loss=0.801 acc=0.400
16,pre_step,75/100,,pre_step 75/100 loss=0.702 acc=0.467
17,pre_step,75/100,,pre_step 75/100 loss=0.752 acc=0.567
18,pre_step,75/100,,pre_step 75/100 loss=0.230 acc=0.933
19,pre_step,75/100,,pre_step 75/100 loss=0.383 acc=0.833
20,pre_step,75/100,,pre_step 75/100 loss=0.279 acc=0.867
21,pre_step,75/100,,pre_step 75/100 loss=0.593 acc=0.667
22,pre_step,75/100,,pre_step 75/100 loss=0.592 acc=0.700
3,pre_step,100/100,,pre_step 100/100 loss=0.608 acc=0.633
4,pre_step,100/100,,pre_step 100/100 loss=0.338 acc=0.867
5,pre_step,100/100,,pre_step 100/100 loss=0.679 acc=0.667
6,pre_step,75/100,,pre_step 75/100 loss=0.597 acc=0.700
7,pre_step,75/100,,pre_step 75/100 loss=0.639 acc=0.733
8,pre_step,75/100,,pre_step 75/100 loss=0.399 acc=0.833
9,pre_step,75/100,,pre_step 75/100 loss=0.648 acc=0.600
