seed,image,chosen,score_margin,chosen_score,score_argmax,chosen_is_score_argmax,full_res_argmin,chosen_is_min_full_res,chosen_full_res,min_full_res,weighted_score_rank,mean_score_rank,mix_entropy_norm,mix_w_path0,mix_w_path1,mix_w_path2,mix_w_path3,mix_w_path4,mix_w_path5
0,kodim01,path3,0.02800840139389038,-0.18769317865371704,path3,1,path1,0,9.222596418112516e-06,1.5018656540632946e-07,2,7,0.8015707578496923,0.18922780454158783,0.0641184076666832,0.12930306792259216,0.4992835223674774,0.0546659454703331,0.06340126693248749
0,kodim02,path3,0.032912418246269226,-0.13487569987773895,path3,1,path1,0,2.1772484615212306e-05,5.522993973272605e-08,2,6,0.7375327332110327,0.026000529527664185,0.108230821788311,0.1379498839378357,0.5658162832260132,0.04486340284347534,0.11713909357786179
0,kodim03,path3,0.06777625158429146,-0.0534418486058712,path3,1,path0,0,4.824129973712843e-06,1.315460657069778e-10,2,7,0.6737933529219508,0.10293535143136978,0.05965684726834297,0.05084669217467308,0.6450188159942627,0.05384717881679535,0.0876951664686203
0,kodim04,path3,0.07386504486203194,-0.040561046451330185,path3,1,path2,0,7.187167739175493e-06,1.5185988577748333e-10,2,7,0.6566368424550646,0.09713131189346313,0.005444030277431011,0.052441105246543884,0.5769515037536621,0.03141643479466438,0.2366156280040741
0,kodim05,path3,0.05011157691478729,-0.12865111231803894,path3,1,path2,0,1.5806930605322123e-05,5.788198809142386e-09,2,7,0.7678268489628657,0.14099588990211487,0.06000886112451553,0.10128780454397202,0.5420059561729431,0.030668826773762703,0.1250327229499817
0,kodim06,weighted,0.008645027875900269,-0.1974044293165207,weighted,1,path2,0,3.1360957564174896e-06,3.1807421141394343e-09,1,7,0.8778226087489517,0.24871163070201874,0.07691541314125061,0.16468586027622223,0.37137243151664734,0.08748702704906464,0.05082770809531212
0,kodim07,path3,0.01343381404876709,-0.17191500961780548,path3,1,path2,0,4.355983401183039e-05,7.850425021160845e-08,2,7,0.783224231510131,0.27117300033569336,0.027698788791894913,0.13996781408786774,0.44807130098342896,0.03348869830369949,0.07960034906864166
0,kodim08,path3,0.04079461097717285,-0.15792469680309296,path3,1,path0,0,7.4818408393184654e-06,1.7838363008948477e-09,2,7,0.817137106100384,0.17919184267520905,0.07077756524085999,0.14573335647583008,0.4784815311431885,0.03501558676362038,0.09080014377832413
0,kodim09,weighted,0.006504535675048828,-0.2125903218984604,weighted,1,path2,0,8.767310646362603e-06,1.6642535172195494e-07,1,7,0.8578996975570058,0.18431879580020905,0.07226569205522537,0.11557081341743469,0.298129677772522,0.01452748291194439,0.3151875436306
0,kodim10,path3,0.00351521372795105,-0.21624045073986053,path3,1,path2,0,1.765027263900265e-05,5.957127235944881e-09,2,7,0.8504138999540348,0.22129835188388824,0.06373429298400879,0.1332513391971588,0.4202597737312317,0.12421505153179169,0.037241172045469284
0,kodim11,path3,0.037348970770835876,-0.11747956275939941,path3,1,path1,0,3.44051695719827e-05,1.439680431758461e-06,2,7,0.821076904057663,0.11405319720506668,0.07168646156787872,0.1648322343826294,0.49165162444114685,0.10964060574769974,0.048135906457901
0,kodim12,path3,0.019564509391784668,-0.10516628623008728,path3,1,path2,0,4.587051535054343e-06,5.108929945762952e-10,2,7,0.8674614817354601,0.24794571101665497,0.09574193507432938,0.15885937213897705,0.37665197253227234,0.030751332640647888,0.09004971385002136
1,kodim01,path3,0.41159549355506897,0.18159447610378265,path3,1,path1,0,1.0272562576574273e-05,9.098975084498306e-08,3,8,0.7548524177261767,0.05500629544258118,0.04228794202208519,0.11051777005195618,0.4968559145927429,0.0352848544716835,0.2600472867488861
1,kodim02,path3,0.9758744239807129,0.2983085513114929,path3,1,path1,0,8.712805538380053e-06,1.1867042530866456e-06,3,8,0.5680424752246337,0.030192550271749496,0.04871797189116478,0.061376847326755524,0.7120022177696228,0.026354311034083366,0.12135609239339828
1,kodim03,path3,0.7836703509092331,0.8028167486190796,path3,1,path0,0,5.825352673127782e-06,5.2209549183945825e-11,5,8,0.49631805849853666,0.0205792598426342,0.017444035038352013,0.005042423494160175,0.690880298614502,0.03538870811462402,0.23066523671150208
1,kodim04,path4,0.2991607189178467,0.694743275642395,path4,1,path1,0,4.5303972001420334e-05,2.8963109244273255e-08,4,7,0.5227555711399356,0.0004949160502292216,0.011456155218183994,0.007796026766300201,0.24846863746643066,0.08823678642511368,0.6435474753379822
1,kodim05,path3,0.5093865096569061,0.4380466938018799,path3,1,path2,0,2.5144210667349398e-05,5.636334177161473e-10,3,8,0.5363487549914587,0.01920950412750244,0.02426486276090145,0.0746728926897049,0.7371246218681335,0.0888361781835556,0.05589192360639572
1,kodim06,path3,0.7803531289100647,0.24890154600143433,path3,1,path1,0,2.7106484594696667e-06,2.389335485020183e-08,3,8,0.8557305931169977,0.10798531770706177,0.09511665254831314,0.1774892657995224,0.4554062783718109,0.059786003082990646,0.10421653836965561
1,kodim07,path3,0.5718786418437958,0.20947936177253723,path3,1,path2,0,1.0943236702587456e-05,4.607281880453229e-06,3,8,0.8635560588610066,0.07633809745311737,0.09265871345996857,0.15872958302497864,0.3846278190612793,0.03806488960981369,0.24958084523677826
1,kodim08,path3,0.12415018677711487,0.34353768825531006,path3,1,path0,0,8.381585757888388e-06,9.096283171139419e-10,4,8,0.6995784681778885,0.046395815908908844,0.051073670387268066,0.16006404161453247,0.6020486950874329,0.09955071657896042,0.04086706414818764
1,kodim09,path3,0.831108421087265,0.25261494517326355,path3,1,path0,0,9.917554052663036e-06,5.9071516567144045e-09,3,8,0.7745381173978378,0.08047012239694595,0.05375857651233673,0.17184077203273773,0.5082714557647705,0.022534407675266266,0.163124680519104
1,kodim10,path3,0.7928193360567093,0.18211467564105988,path3,1,path0,0,8.828838872432243e-06,8.785644212139232e-08,3,8,0.8241844218309458,0.10088272392749786,0.041841134428977966,0.16599273681640625,0.45369958877563477,0.044384513050317764,0.1931992918252945
1,kodim11,path4,0.018676280975341797,0.42481666803359985,path4,1,path1,0,0.00016799352306406945,2.8215706606715685e-06,4,7,0.7408733461992264,0.0027325807604938745,0.03308182954788208,0.08862356096506119,0.47300395369529724,0.14554132521152496,0.25701674818992615
1,kodim12,path4,0.3477950096130371,1.0626517534255981,path4,1,path2,0,3.241521699237637e-05,1.417718831220327e-08,5,7,0.7351368469637928,0.0027467438485473394,0.028896724805235863,0.0394294299185276,0.3969281315803528,0.2592202126979828,0.2727786898612976
