seed,phase,iter,total,loss,acc
0,step,25,100,0.598,0.8
0,step,50,100,0.452,0.833
0,step,75,100,0.574,0.767
0,step,100,100,0.586,0.8
0,final,25,100,1.926,0.4
0,final,50,100,1.71,0.3
0,final,75,100,1.702,0.35
0,final,100,100,1.933,0.25
1,step,25,100,0.718,0.567
1,step,50,100,0.61,0.733
1,step,75,100,0.047,1.0
1,step,100,100,0.743,0.533
1,final,25,100,1.972,0.45
1,final,50,100,1.558,0.4
1,final,75,100,1.856,0.4
1,final,100,100,1.295,0.75
2,step,25,100,0.633,0.733
2,step,50,100,0.61,0.733
2,step,75,100,0.04,0.967
2,step,100,100,0.705,0.567
2,final,25,100,2.03,0.25
2,final,50,100,1.891,0.5
2,final,75,100,1.925,0.25
2,final,100,100,1.802,0.3
