seed,episode,r_media20,advantage,val_agent,val_greedy,val_delta
0,0,,,22.916,23.239,-0.323
0,20,23.377,0.0,21.237,22.982,-1.745
0,40,19.932,0.0,22.625,23.038,-0.413
0,60,21.26,1.553,22.866,23.118,-0.251
0,80,20.125,-0.06,22.837,23.365,-0.528
0,100,21.872,0.0,22.673,23.145,-0.472
0,120,19.9,-0.024,22.722,23.245,-0.523
0,140,21.407,0.0,22.776,23.012,-0.236
0,160,19.131,-0.686,22.343,23.16,-0.817
0,180,20.737,-0.076,21.284,23.006,-1.722
0,200,20.831,-1.008,22.392,23.182,-0.79
0,220,21.388,0.331,22.779,23.07,-0.29
0,240,19.714,0.0,23.245,23.218,0.027
0,260,22.146,-0.07,21.461,23.165,-1.704
0,280,21.155,0.004,21.51,23.075,-1.565
0,300,21.405,0.266,23.98,23.189,0.791
1,0,,,21.161,23.116,-1.956
1,20,21.973,0.0,21.192,23.151,-1.959
1,40,20.455,0.0,21.517,23.241,-1.725
1,60,23.039,0.273,21.343,23.127,-1.785
1,80,21.478,0.0,21.454,23.266,-1.812
1,100,21.286,-0.146,21.721,22.986,-1.266
1,120,22.447,0.351,22.183,23.137,-0.954
1,140,20.638,-1.463,21.647,23.141,-1.494
1,160,19.722,-0.049,20.972,23.171,-2.199
1,180,21.424,0.0,21.039,23.104,-2.065
1,200,21.236,0.188,21.245,23.207,-1.962
1,220,21.457,0.0,21.193,23.048,-1.855
1,240,21.922,0.0,21.047,23.221,-2.174
1,260,21.92,-0.015,21.068,23.201,-2.132
1,280,24.151,-2.871,20.945,23.136,-2.191
1,300,20.244,0.222,21.324,22.962,-1.638
2,0,,,23.842,23.29,0.552
2,20,21.305,0.0,24.043,23.306,0.737
2,40,21.059,0.0,23.995,23.115,0.88
2,60,21.487,-0.002,24.012,23.203,0.809
2,80,21.647,-0.351,23.892,23.136,0.755
2,100,21.806,-0.471,23.965,23.12,0.845
2,120,20.565,-0.056,23.951,23.071,0.88
2,140,20.873,0.059,23.958,23.257,0.701
2,160,20.308,-0.097,23.951,23.339,0.613
2,180,20.105,0.574,23.925,23.383,0.542
2,200,22.796,0.469,24.025,23.294,0.731
2,220,21.794,0.002,23.773,23.183,0.59
2,240,20.947,-0.089,23.965,23.286,0.679
2,260,20.919,0.007,23.773,23.058,0.715
2,280,20.901,0.0,23.875,23.112,0.764
2,300,23.408,1.14,23.889,23.333,0.555
