machine,chunk,idx,chosen,scores,full_res,mix_weights
evc,chunk_50_54,50,path3,"[-0.5557124614715576, -0.5307324528694153, -0.24055339395999908, -0.10288211703300476, -0.3248300850391388, -0.17591725289821625, -0.48702746629714966, -0.15339405834674835]","[9.993753337766975e-05, 6.844156814622693e-06, 1.7212745717642974e-07, 7.880707926233299e-06, 0.00011200850713066757, 3.687185017042793e-05, 1.4595264474337455e-05, 1.1595973774092272e-05]","[0.014647778123617172, 0.06134190782904625, 0.11001486331224442, 0.35772931575775146, 0.01844658888876438, 0.4378195106983185]"
evc,chunk_55_59,55,path3,"[-0.4435555636882782, -0.5902376770973206, -0.30336934328079224, -0.1787659078836441, -0.3510122299194336, -0.32702797651290894, -0.5480751991271973, -0.18831993639469147]","[2.326669346075505e-08, 9.410570100953919e-07, 1.0317245724422719e-08, 1.1872757568198722e-05, 0.00011644964251900092, 0.00010071785072796047, 1.3983799362904392e-05, 4.3490726966410875e-06]","[0.1863185167312622, 0.061132486909627914, 0.2449171543121338, 0.39883771538734436, 0.02582983672618866, 0.08296426385641098]"
evc,chunk_60_64,60,path3,"[-0.43411481380462646, -0.5167141556739807, -0.343904584646225, -0.07629233598709106, -0.2726868987083435, -0.2493501454591751, -0.47196170687675476, -0.1376766711473465]","[3.3635467389103724e-06, 2.2746021386410575e-06, 3.2660036595189013e-06, 6.538639809150482e-06, 0.0001259540586033836, 9.634173329686746e-05, 1.5496854757657275e-05, 6.0267284425208345e-06]","[0.17063410580158234, 0.06491430103778839, 0.15188297629356384, 0.496660977602005, 0.02260119840502739, 0.09330630302429199]"
evc,chunk_65_69,65,path3,"[-0.6842893958091736, -0.6006322503089905, -0.32841920852661133, -0.1469980925321579, -0.18516239523887634, -0.15874932706356049, -0.5323144197463989, -0.2015322744846344]","[0.03591585531830788, 8.069636692198401e-08, 2.4007678689486056e-07, 5.689696081390139e-06, 5.048124512541108e-05, 6.375702469085809e-06, 0.0010600602254271507, 7.4920744737028144e-06]","[0.002230555983260274, 0.021911349147558212, 0.0402710922062397, 0.2163965255022049, 0.18466848134994507, 0.5345221161842346]"
evc,chunk_70_74,70,path4,"[-0.633180558681488, -0.6127259731292725, -0.184456929564476, 0.0011082068085670471, 0.12179416418075562, -0.028643425554037094, -0.4397047162055969, -0.12371717393398285]","[0.00453167362138629, 4.2628205846995115e-05, 4.192576670902781e-05, 2.7305950425215997e-05, 0.00011603742314036936, 0.0003108886885456741, 0.00022503464424517006, 0.00015500035078730434]","[0.00012116499419789761, 0.00020008799037896097, 0.027830513194203377, 0.06953373551368713, 0.43415960669517517, 0.4681548774242401]"
evc,chunk_75_79,75,path3,"[-0.532770574092865, -0.5135261416435242, -0.20192739367485046, 0.09284745156764984, -0.1970977783203125, -0.16162262856960297, -0.3932480216026306, -0.08964380621910095]","[0.00030669308034703135, 4.549114862584247e-07, 2.6323323254473507e-06, 4.157530202064663e-05, 0.0004907218390144408, 0.0003738936793524772, 7.204354915302247e-05, 6.399622361641377e-05]","[0.00047030934365466237, 0.0014797449111938477, 0.007830919697880745, 0.7451843023300171, 0.03827940300107002, 0.20675544440746307]"
evc,chunk_80_84,80,path3,"[-0.41819190979003906, -0.5665366649627686, -0.30480194091796875, -0.16262562572956085, -0.35933953523635864, -0.2943437099456787, -0.5254338383674622, -0.16994477808475494]","[5.2213467824913096e-06, 5.354768745746696e-06, 6.979364570725011e-06, 9.744078852236271e-06, 9.016859985422343e-05, 5.633397086057812e-05, 1.0634592399583198e-05, 5.920724106545094e-06]","[0.1908496767282486, 0.07717953622341156, 0.12966427206993103, 0.43140748143196106, 0.018814604729413986, 0.1520843505859375]"
evc,chunk_85_89,85,path5,"[-0.4272836446762085, -0.6203627586364746, -0.2833406925201416, -0.24933145940303802, -0.38090988993644714, -0.19047562777996063, -0.5463935732841492, -0.19694088399410248]","[1.2922877878907002e-08, 5.067412075732136e-06, 1.7819093978133083e-09, 1.0372957149229478e-05, 3.7390607758425176e-05, 5.297580628393916e-06, 3.0296707791421795e-06, 3.064132670260733e-06]","[0.15189962089061737, 0.020455682650208473, 0.10527358204126358, 0.15740835666656494, 0.00931269396096468, 0.5556500554084778]"
evc,chunk_90_94,90,path3,"[-0.3863895833492279, -0.5459392666816711, -0.24983887374401093, -0.11701898276805878, -0.2201693207025528, -0.34631478786468506, -0.5026231408119202, -0.16657721996307373]","[8.657738135298132e-07, 8.969956866167195e-07, 4.683734857735544e-07, 9.806675734580494e-06, 0.00010690140334190801, 0.000264153495663777, 1.9614981283666566e-05, 1.1172305676154792e-05]","[0.18242235481739044, 0.04059213027358055, 0.113666832447052, 0.4552726149559021, 0.16182298958301544, 0.04622311145067215]"
evc,chunk_95_99,95,path3,"[-0.45163965225219727, -0.5849162936210632, -0.3440006375312805, -0.11934708058834076, -0.33238863945007324, -0.31855422258377075, -0.5399907827377319, -0.16472283005714417]","[2.11463247978827e-05, 1.3741097973252181e-05, 2.8892027330584824e-05, 9.205309652315918e-06, 0.000182831019628793, 0.00017370587738696486, 2.3935677745612338e-05, 9.278086508857086e-06]","[0.1906384825706482, 0.07469426840543747, 0.1260574609041214, 0.4856790602207184, 0.0334019660949707, 0.08952872455120087]"
