machine,chunk,idx,chosen,oracle_best,chosen_is_oracle,agent_psnr,oracle_psnr,oracle_gap
hdsp,chunk_0_4,0,path3,weighted,0,32.87761011087528,33.57064243904042,0.6930323281651383
hdsp,chunk_0_4,1,path3,path3,1,17.078744460234553,17.078744460234553,0.0
hdsp,chunk_0_4,2,weighted,path3,0,19.92677032697978,20.464814363732952,0.5380440367531705
hdsp,chunk_0_4,3,path5,path5,1,19.45457119012622,19.45457119012622,0.0
hdsp,chunk_0_4,4,path3,path5,0,19.17088730294211,20.926639298040797,1.755751995098688
hdsp,chunk_10_14,10,path3,weighted,0,19.92484307665415,20.03962895140497,0.11478587475082236
hdsp,chunk_10_14,11,path3,mean,0,22.380540898323964,24.06623860438632,1.6856977060623564
hdsp,chunk_10_14,12,path3,path5,0,23.159739515086166,24.154191466109527,0.9944519510233611
hdsp,chunk_10_14,13,path4,path4,1,18.702958192500844,18.702958192500844,0.0
hdsp,chunk_10_14,14,path3,path3,1,18.925499230838042,18.925499230838042,0.0
hdsp,chunk_15_19,15,path4,path4,1,25.422118365502957,25.422118365502957,0.0
hdsp,chunk_15_19,16,weighted,path4,0,25.025419764493062,25.191453464738895,0.16603370024583342
hdsp,chunk_15_19,17,path3,path1,0,18.190688530688185,19.739791328385074,1.5491027976968894
hdsp,chunk_15_19,18,path3,path3,1,24.120158027158958,24.120158027158958,0.0
hdsp,chunk_15_19,19,path3,path5,0,23.194158255961632,25.400107984548765,2.2059497285871323
hdsp,chunk_20_24,20,path3,path2,0,25.41602154037285,31.56941194821538,6.153390407842529
hdsp,chunk_20_24,21,path3,path3,1,17.839437975752915,17.839437975752915,0.0
hdsp,chunk_20_24,22,path3,path0,0,19.06178877997012,20.739372725903568,1.6775839459334492
hdsp,chunk_20_24,23,path4,path5,0,30.39734067847594,34.398283031012376,4.000942352536438
hdsp,chunk_20_24,24,weighted,path3,0,34.08262609652973,34.93369849950755,0.8510724029778203
hdsp,chunk_25_29,25,path4,path4,1,20.152396498004276,20.152396498004276,0.0
hdsp,chunk_25_29,26,path3,path4,0,25.171311589351575,26.57712287819265,1.4058112888410754
hdsp,chunk_25_29,27,path3,path5,0,21.22258747552115,22.16407885792126,0.9414913824001125
hdsp,chunk_25_29,28,path3,mean,0,21.374184097569366,22.591176615456323,1.2169925178869576
hdsp,chunk_25_29,29,path5,path3,0,27.75704157282145,28.37664763248086,0.6196060596594108
hdsp,chunk_30_34,30,path3,path5,0,24.47998059847331,26.129772179900765,1.6497915814274542
hdsp,chunk_30_34,31,path5,path5,1,22.2016846883159,22.2016846883159,0.0
hdsp,chunk_30_34,32,path3,path5,0,20.110687666010882,22.706557779205024,2.5958701131941417
hdsp,chunk_30_34,33,path3,path4,0,15.878314586694433,17.706255086337638,1.827940499643205
hdsp,chunk_30_34,34,path3,path2,0,22.254595725378476,22.976705757724663,0.7221100323461869
hdsp,chunk_35_39,35,path3,path4,0,23.911644299521996,26.018299195502475,2.10665489598048
hdsp,chunk_35_39,36,path3,path4,0,23.620856481830113,27.879120161674415,4.258263679844301
hdsp,chunk_35_39,37,path3,path4,0,26.458364013714576,26.57270861129518,0.11434459758060456
hdsp,chunk_35_39,38,path3,path4,0,24.92083923644411,26.20214480561959,1.2813055691754798
hdsp,chunk_35_39,39,path3,path2,0,13.225684555650519,16.087338298257187,2.861653742606668
hdsp,chunk_40_44,40,path3,path5,0,32.0314647756551,34.04570475548915,2.014239979834045
hdsp,chunk_40_44,41,path3,path4,0,19.764431742005257,20.379589734092782,0.615157992087525
hdsp,chunk_40_44,42,path3,path4,0,23.502945249662567,29.632874604467624,6.129929354805057
hdsp,chunk_40_44,43,path3,weighted,0,18.941888763673468,19.5926452358121,0.6507564721386316
hdsp,chunk_40_44,44,path3,path4,0,27.857574663953866,33.153769430822464,5.296194766868599
hdsp,chunk_45_49,45,weighted,path3,0,16.80818311331859,16.9776281865374,0.1694450732188102
hdsp,chunk_45_49,46,path3,weighted,0,24.896115322074586,25.04434200208028,0.1482266800056955
hdsp,chunk_45_49,47,path3,mean,0,24.415087908887507,24.949585890684357,0.53449798179685
hdsp,chunk_45_49,48,path3,path3,1,40.19106680235987,40.19106680235987,0.0
hdsp,chunk_45_49,49,path4,path4,1,21.51719807409468,21.51719807409468,0.0
hdsp,chunk_5_9,5,path3,path3,1,18.23611271772791,18.23611271772791,0.0
hdsp,chunk_5_9,6,path4,path4,1,24.917996094612754,24.917996094612754,0.0
hdsp,chunk_5_9,7,path3,path4,0,24.87045861398187,25.839298279503325,0.968839665521454
hdsp,chunk_5_9,8,path3,weighted,0,25.036887108870516,25.174005693908818,0.13711858503830143
hdsp,chunk_5_9,9,path3,path5,0,15.188128525425803,16.29270488673107,1.1045763613052664
