machine,chunk,idx,cluster,step,chosen,families,scores,full_res
evc,chunk_50_54,50,0,1,robust,"[""phys"", ""robust""]","[-11.658766746520996, -11.401646614074707]","[0.0003838971024379134, 0.002016352489590645]"
evc,chunk_50_54,50,0,2,phys,"[""phys"", ""robust""]","[-10.687907218933105, -10.925198554992676]","[0.00022885638463776559, 0.005624301265925169]"
evc,chunk_50_54,50,0,3,phys,"[""phys"", ""robust""]","[-10.599023818969727, -10.642691612243652]","[0.0001559381780680269, 0.0009599244804121554]"
evc,chunk_50_54,50,0,4,phys,"[""phys"", ""robust""]","[-10.570630073547363, -10.633530616760254]","[0.00013853203563485295, 0.0015974286943674088]"
evc,chunk_50_54,50,0,5,phys,"[""phys"", ""robust""]","[-10.215805053710938, -10.638651847839355]","[7.204393477877602e-05, 0.0007480808417312801]"
evc,chunk_50_54,50,0,6,robust,"[""phys"", ""robust""]","[-11.456624984741211, -10.947234153747559]","[0.00035705012851394713, 0.0008522197022102773]"
evc,chunk_50_54,50,0,7,phys,"[""phys"", ""robust""]","[-10.466011047363281, -10.609076499938965]","[6.465247133746743e-05, 0.0014629196375608444]"
evc,chunk_50_54,50,0,8,phys,"[""phys"", ""robust""]","[-10.546975135803223, -10.854516983032227]","[8.975677337730303e-05, 0.000868839502800256]"
evc,chunk_50_54,50,1,1,conv,"[""conv"", ""prox_tv""]","[-11.345442771911621, -11.736408233642578]","[0.00017575793026480824, 0.00024957527057267725]"
evc,chunk_50_54,50,1,2,prox_tv,"[""conv"", ""prox_tv""]","[-11.170267105102539, -10.978989601135254]","[0.0003516131255310029, 0.0001810455578379333]"
evc,chunk_50_54,50,1,3,conv,"[""conv"", ""prox_tv""]","[-10.417004585266113, -10.925027847290039]","[0.00020183877495583147, 0.00023008712742011994]"
evc,chunk_50_54,50,1,4,conv,"[""conv"", ""prox_tv""]","[-10.357952117919922, -10.8047513961792]","[0.00016452535055577755, 0.00017845811089500785]"
evc,chunk_50_54,50,1,5,prox_tv,"[""conv"", ""prox_tv""]","[-10.946296691894531, -10.343144416809082]","[0.00046055857092142105, 9.127266093855724e-05]"
evc,chunk_50_54,50,1,6,conv,"[""conv"", ""prox_tv""]","[-10.470108985900879, -12.363517761230469]","[9.953526023309678e-05, 0.0008319778135046363]"
evc,chunk_50_54,50,1,7,conv,"[""conv"", ""prox_tv""]","[-10.10667896270752, -10.522740364074707]","[8.6815474787727e-05, 0.00010026106610894203]"
evc,chunk_50_54,50,1,8,conv,"[""conv"", ""prox_tv""]","[-10.218304634094238, -10.855783462524414]","[8.604274626122788e-05, 0.0002822266542352736]"
evc,chunk_50_54,50,2,1,conv_lowtv,"[""conv_lowtv"", ""wavelet"", ""inr""]","[-11.61272144317627, -12.02993392944336, -14.154427528381348]","[0.0003132353303954005, 0.0005352947628125548, 0.25770512223243713]"
evc,chunk_50_54,50,2,2,conv_lowtv,"[""conv_lowtv"", ""wavelet"", ""inr""]","[-11.459637641906738, -12.129345893859863, -14.390097618103027]","[0.0002552383521106094, 0.0008756667957641184, 0.28918400406837463]"
evc,chunk_50_54,50,2,3,conv_lowtv,"[""conv_lowtv"", ""wavelet"", ""inr""]","[-11.4749174118042, -12.136367797851562, -14.905387878417969]","[0.00028138974448665977, 0.000888656941242516, 0.284612774848938]"
evc,chunk_50_54,50,2,4,conv_lowtv,"[""conv_lowtv"", ""wavelet"", ""inr""]","[-10.990609169006348, -12.110276222229004, -15.170784950256348]","[0.00012943422188982368, 0.000985645456239581, 0.2612563967704773]"
evc,chunk_50_54,50,2,5,conv_lowtv,"[""conv_lowtv"", ""wavelet"", ""inr""]","[-10.872086524963379, -12.361796379089355, -15.467391014099121]","[0.00010676858073566109, 0.0010639874963089824, 0.25510096549987793]"
evc,chunk_50_54,50,2,6,conv_lowtv,"[""conv_lowtv"", ""wavelet"", ""inr""]","[-11.036770820617676, -12.448920249938965, -15.861504554748535]","[0.00013975516776554286, 0.001114330836571753, 0.27019625902175903]"
evc,chunk_50_54,50,2,7,conv_lowtv,"[""conv_lowtv"", ""wavelet"", ""inr""]","[-10.900336265563965, -12.597500801086426, -15.965529441833496]","[9.992440755013376e-05, 0.00115225650370121, 0.2867821156978607]"
evc,chunk_50_54,50,2,8,conv_lowtv,"[""conv_lowtv"", ""wavelet"", ""inr""]","[-10.924576759338379, -12.65383529663086, -15.727259635925293]","[0.00011356307368259877, 0.000879087601788342, 0.25538691878318787]"
evc,chunk_50_54,50,3,1,had,"[""dct"", ""had""]","[-12.222386360168457, -11.688703536987305]","[0.00042142666643485427, 0.00021031130745541304]"
evc,chunk_50_54,50,3,2,dct,"[""dct"", ""had""]","[-11.179085731506348, -11.947402000427246]","[0.0003143745707347989, 0.0003361305280122906]"
evc,chunk_50_54,50,3,3,had,"[""dct"", ""had""]","[-10.917284965515137, -10.33712100982666]","[0.00021951194503344595, 0.00014028533769305795]"
evc,chunk_50_54,50,3,4,dct,"[""dct"", ""had""]","[-10.379490852355957, -11.02477741241455]","[0.00014227934298105538, 0.00016563196550123394]"
evc,chunk_50_54,50,3,5,had,"[""dct"", ""had""]","[-11.208940505981445, -10.598549842834473]","[0.0001850435510277748, 0.00016620477254036814]"
evc,chunk_50_54,50,3,6,had,"[""dct"", ""had""]","[-10.891980171203613, -10.706038475036621]","[0.0001609938044566661, 0.0001554206246510148]"
evc,chunk_50_54,50,3,7,had,"[""dct"", ""had""]","[-10.974815368652344, -10.692158699035645]","[0.00015680618525948375, 0.00013702271098736674]"
evc,chunk_50_54,50,3,8,had,"[""dct"", ""had""]","[-11.058784484863281, -10.705652236938477]","[0.00013980973744764924, 0.00012848743062932044]"
evc,chunk_50_54,50,4,1,huber,"[""tv2"", ""huber""]","[-11.476733207702637, -11.264703750610352]","[0.0005090642953291535, 0.00038172927452251315]"
evc,chunk_50_54,50,4,2,huber,"[""tv2"", ""huber""]","[-10.63042163848877, -10.455737113952637]","[0.00047549905139021575, 0.0003298492229077965]"
evc,chunk_50_54,50,4,3,huber,"[""tv2"", ""huber""]","[-10.7203369140625, -10.492408752441406]","[0.0003645857213996351, 0.0003154281876049936]"
evc,chunk_50_54,50,4,4,huber,"[""tv2"", ""huber""]","[-11.21502685546875, -10.132161140441895]","[0.0005295055452734232, 0.00019913792493753135]"
evc,chunk_50_54,50,4,5,tv2,"[""tv2"", ""huber""]","[-10.678370475769043, -12.312743186950684]","[0.0003402219736017287, 0.00097373325843364]"
evc,chunk_50_54,50,4,6,tv2,"[""tv2"", ""huber""]","[-10.459441184997559, -10.746270179748535]","[0.00038076055352576077, 0.0002939362602774054]"
evc,chunk_50_54,50,4,7,tv2,"[""tv2"", ""huber""]","[-10.511713981628418, -10.566373825073242]","[0.0004358465666882694, 0.0002758328919298947]"
evc,chunk_50_54,50,4,8,huber,"[""tv2"", ""huber""]","[-10.88234806060791, -10.774168968200684]","[0.0004236646054778248, 0.00023663052706979215]"
evc,chunk_50_54,50,5,1,dct,"[""dct"", ""tv2""]","[-11.358677864074707, -11.7071533203125]","[0.00025748880580067635, 0.0003967468219343573]"
evc,chunk_50_54,50,5,2,dct,"[""dct"", ""tv2""]","[-10.331727027893066, -10.452275276184082]","[0.00017769384430721402, 0.0003407296317163855]"
evc,chunk_50_54,50,5,3,dct,"[""dct"", ""tv2""]","[-10.126729011535645, -10.46496295928955]","[0.0001031875581247732, 0.00047266200999729335]"
evc,chunk_50_54,50,5,4,tv2,"[""dct"", ""tv2""]","[-10.391276359558105, -10.260725975036621]","[0.00017782574286684394, 0.00033496637479402125]"
evc,chunk_50_54,50,5,5,tv2,"[""dct"", ""tv2""]","[-10.410094261169434, -9.969340324401855]","[0.00021468258637469262, 0.00030892514041624963]"
evc,chunk_50_54,50,5,6,tv2,"[""dct"", ""tv2""]","[-10.513001441955566, -10.271552085876465]","[0.00015395990340039134, 0.00043783753062598407]"
evc,chunk_50_54,50,5,7,dct,"[""dct"", ""tv2""]","[-10.653193473815918, -10.763431549072266]","[0.00013121971278451383, 0.00044123249244876206]"
evc,chunk_50_54,50,5,8,dct,"[""dct"", ""tv2""]","[-10.506892204284668, -10.629441261291504]","[9.855326061369851e-05, 0.00029271989478729665]"
